Time,Node,X,Y,ElectricField,MagneticField
0.05,6,0.666667,0,0,0
0.05,7,0.777778,0,0,0
0.05,8,0.888889,0,0,0
0.05,9,1,0,0,0
0.05,10,0,0.111111,0,0
0.05,11,0.111111,0.111111,0,0
0.05,12,0.222222,0.111111,0,0
0.05,13,0.333333,0.111111,0,0
0.05,14,0.444444,0.111111,0,0
0.05,15,0.555556,0.111111,0,0
0.05,16,0.666667,0.111111,0,0
0.05,17,0.777778,0.111111,0,0
0.05,18,0.888889,0.111111,0,0
0.05,19,1,0.111111,0,0
0.05,20,0,0.222222,0,0
0.05,21,0.111111,0.222222,0,0
0.05,22,0.222222,0.222222,0,0
0.05,23,0.333333,0.222222,0,0
0.05,24,0.444444,0.222222,0,0
0.05,25,0.555556,0.222222,0,0
0.05,26,0.666667,0.222222,0,0
0.05,27,0.777778,0.222222,0,0
0.05,28,0.888889,0.222222,0,0
0.05,29,1,0.222222,0,0
0.05,30,0,0.333333,0,0
0.05,31,0.111111,0.333333,0,0
0.05,32,0.222222,0.333333,0,0
0.05,33,0.333333,0.333333,0,0
0.05,34,0.444444,0.333333,0,0
0.05,35,0.555556,0.333333,0,0
0.05,36,0.666667,0.333333,0,0
0.05,37,0.777778,0.333333,0,0
0.05,38,0.888889,0.333333,0,0
0.05,39,1,0.333333,0,0
0.05,40,0,0.444444,0,0
0.05,41,0.111111,0.444444,0,0
0.05,42,0.222222,0.444444,0,0
0.05,43,0.333333,0.444444,0,0
0.05,44,0.444444,0.444444,0,0
0.05,45,0.555556,0.444444,0,0
0.05,46,0.666667,0.444444,0,0
0.05,47,0.777778,0.444444,0,0
0.05,48,0.888889,0.444444,0,0
0.05,49,1,0.444444,0,0
0.05,50,0,0.555556,0,0
0.05,51,0.111111,0.555556,0,0
0.05,52,0.222222,0.555556,0,0
0.05,53,0.333333,0.555556,0,0
0.05,54,0.444444,0.555556,0,0
0.05,55,0.555556,0.555556,0,0
0.05,56,0.666667,0.555556,0,0
0.05,57,0.777778,0.555556,0,0
0.05,58,0.888889,0.555556,0,0
0.05,59,1,0.555556,0,0
0.05,60,0,0.666667,0,0
0.05,61,0.111111,0.666667,0,0
0.05,62,0.222222,0.666667,0,0
0.05,63,0.333333,0.666667,0,0
0.05,64,0.444444,0.666667,0,0
0.05,65,0.555556,0.666667,0,0
0.05,66,0.666667,0.666667,0,0
0.05,67,0.777778,0.666667,0,0
0.05,68,0.888889,0.666667,0,0
0.05,69,1,0.666667,0,0
0.05,70,0,0.777778,0,0
0.05,71,0.111111,0.777778,0,0
0.05,72,0.222222,0.777778,0,0
0.05,73,0.333333,0.777778,0,0
0.05,74,0.444444,0.777778,0,0
0.05,75,0.555556,0.777778,0,0
0.05,76,0.666667,0.777778,0,0
0.05,77,0.777778,0.777778,0,0
0.05,78,0.888889,0.777778,0,0
0.05,79,1,0.777778,0,0
0.05,80,0,0.888889,0,0
0.05,81,0.111111,0.888889,0,0
0.05,82,0.222222,0.888889,0,0
0.05,83,0.333333,0.888889,0,0
0.05,84,0.444444,0.888889,0,0
0.05,85,0.555556,0.888889,0,0
0.05,86,0.666667,0.888889,0,0
0.05,87,0.777778,0.888889,0,0
0.05,88,0.888889,0.888889,0,0
0.05,89,1,0.888889,0,0
0.05,90,0,1,0,0
0.05,91,0.111111,1,0,0
0.05,92,0.222222,1,0,0
0.05,93,0.333333,1,0,0
0.05,94,0.444444,1,0,0
0.05,95,0.555556,1,0,0
0.05,96,0.666667,1,0,0
0.05,97,0.777778,1,0,0
0.05,98,0.888889,1,0,0
0.05,99,1,1,0,0
0.06,0,0,0,0,0
0.06,1,0.111111,0,0,0
0.06,2,0.222222,0,0,0
0.06,3,0.333333,0,0,0
0.06,4,0.444444,0,0,0
0.06,5,0.555556,0,0,0
0.06,6,0.666667,0,0,0
0.06,7,0.777778,0,0,0
0.06,8,0.888889,0,0,0
0.06,9,1,0,0,0
0.06,10,0,0.111111,0,0
0.06,11,0.111111,0.111111,0,0
0.06,12,0.222222,0.111111,0,0
0.06,13,0.333333,0.111111,0,0
0.06,14,0.444444,0.111111,0,0
0.06,15,0.555556,0.111111,0,0
0.06,16,0.666667,0.111111,0,0
0.06,17,0.777778,0.111111,0,0
0.06,18,0.888889,0.111111,0,0
0.06,19,1,0.111111,0,0
0.06,20,0,0.222222,0,0
0.06,21,0.111111,0.222222,0,0
0.06,22,0.222222,0.222222,0,0
0.06,23,0.333333,0.222222,0,0
0.06,24,0.444444,0.222222,0,0
0.06,25,0.555556,0.222222,0,0
0.06,26,0.666667,0.222222,0,0
0.06,27,0.777778,0.222222,0,0
0.06,28,0.888889,0.222222,0,0
0.06,29,1,0.222222,0,0
0.06,30,0,0.333333,0,0
0.06,31,0.111111,0.333333,0,0
0.06,32,0.222222,0.333333,0,0
0.06,33,0.333333,0.333333,0,0
0.06,34,0.444444,0.333333,0,0
0.06,35,0.555556,0.333333,0,0
0.06,36,0.666667,0.333333,0,0
0.06,37,0.777778,0.333333,0,0
0.06,38,0.888889,0.333333,0,0
0.06,39,1,0.333333,0,0
0.06,40,0,0.444444,0,0
0.06,41,0.111111,0.444444,0,0
0.06,42,0.222222,0.444444,0,0
0.06,43,0.333333,0.444444,0,0
0.06,44,0.444444,0.444444,0,0
0.06,45,0.555556,0.444444,0,0
0.06,46,0.666667,0.444444,0,0
0.06,47,0.777778,0.444444,0,0
0.06,48,0.888889,0.444444,0,0
0.06,49,1,0.444444,0,0
0.06,50,0,0.555556,0,0
0.06,51,0.111111,0.555556,0,0
0.06,52,0.222222,0.555556,0,0
0.06,53,0.333333,0.555556,0,0
0.06,54,0.444444,0.555556,0,0
0.06,55,0.555556,0.555556,0,0
0.06,56,0.666667,0.555556,0,0
0.06,57,0.777778,0.555556,0,0
0.06,58,0.888889,0.555556,0,0
0.06,59,1,0.555556,0,0
0.06,60,0,0.666667,0,0
0.06,61,0.111111,0.666667,0,0
0.06,62,0.222222,0.666667,0,0
0.06,63,0.333333,0.666667,0,0
0.06,64,0.444444,0.666667,0,0
0.06,65,0.555556,0.666667,0,0
0.06,66,0.666667,0.666667,0,0
0.06,67,0.777778,0.666667,0,0
0.06,68,0.888889,0.666667,0,0
0.06,69,1,0.666667,0,0
0.06,70,0,0.777778,0,0
0.06,71,0.111111,0.777778,0,0
0.06,72,0.222222,0.777778,0,0
0.06,73,0.333333,0.777778,0,0
0.06,74,0.444444,0.777778,0,0
0.06,75,0.555556,0.777778,0,0
0.06,76,0.666667,0.777778,0,0
0.06,77,0.777778,0.777778,0,0
0.06,78,0.888889,0.777778,0,0
0.06,79,1,0.777778,0,0
0.06,80,0,0.888889,0,0
0.06,81,0.111111,0.888889,0,0
0.06,82,0.222222,0.888889,0,0
0.06,83,0.333333,0.888889,0,0
0.06,84,0.444444,0.888889,0,0
0.06,85,0.555556,0.888889,0,0
0.06,86,0.666667,0.888889,0,0
0.06,87,0.777778,0.888889,0,0
0.06,88,0.888889,0.888889,0,0
0.06,89,1,0.888889,0,0
0.06,90,0,1,0,0
0.06,91,0.111111,1,0,0
0.06,92,0.222222,1,0,0
0.06,93,0.333333,1,0,0
0.06,94,0.444444,1,0,0
0.06,95,0.555556,1,0,0
0.06,96,0.666667,1,0,0
0.06,97,0.777778,1,0,0
0.06,98,0.888889,1,0,0
0.06,99,1,1,0,0
0.07,0,0,0,0,0
0.07,1,0.111111,0,0,0
0.07,2,0.222222,0,0,0
0.07,3,0.333333,0,0,0
0.07,4,0.444444,0,0,0
0.07,5,0.555556,0,0,0
0.07,6,0.666667,0,0,0
0.07,7,0.777778,0,0,0
0.07,8,0.888889,0,0,0
0.07,9,1,0,0,0
0.07,10,0,0.111111,0,0
0.07,11,0.111111,0.111111,0,0
0.07,12,0.222222,0.111111,0,0
0.07,13,0.333333,0.111111,0,0
0.07,14,0.444444,0.111111,0,0
0.07,15,0.555556,0.111111,0,0
0.07,16,0.666667,0.111111,0,0
0.07,17,0.777778,0.111111,0,0
0.07,18,0.888889,0.111111,0,0
0.07,19,1,0.111111,0,0
0.07,20,0,0.222222,0,0
0.07,21,0.111111,0.222222,0,0
0.07,22,0.222222,0.222222,0,0
0.07,23,0.333333,0.222222,0,0
0.07,24,0.444444,0.222222,0,0
0.07,25,0.555556,0.222222,0,0
0.07,26,0.666667,0.222222,0,0
0.07,27,0.777778,0.222222,0,0
0.07,28,0.888889,0.222222,0,0
0.07,29,1,0.222222,0,0
0.07,30,0,0.333333,0,0
0.07,31,0.111111,0.333333,0,0
0.07,32,0.222222,0.333333,0,0
0.07,33,0.333333,0.333333,0,0
0.07,34,0.444444,0.333333,0,0
0.07,35,0.555556,0.333333,0,0
0.07,36,0.666667,0.333333,0,0
0.07,37,0.777778,0.333333,0,0
0.07,38,0.888889,0.333333,0,0
0.07,39,1,0.333333,0,0
0.07,40,0,0.444444,0,0
0.07,41,0.111111,0.444444,0,0
0.07,42,0.222222,0.444444,0,0
0.07,43,0.333333,0.444444,0,0
0.07,44,0.444444,0.444444,0,0
0.07,45,0.555556,0.444444,0,0
0.07,46,0.666667,0.444444,0,0
0.07,47,0.777778,0.444444,0,0
0.07,48,0.888889,0.444444,0,0
0.07,49,1,0.444444,0,0
0.07,50,0,0.555556,0,0
0.07,51,0.111111,0.555556,0,0
0.07,52,0.222222,0.555556,0,0
0.07,53,0.333333,0.555556,0,0
0.07,54,0.444444,0.555556,0,0
0.07,55,0.555556,0.555556,0,0
0.07,56,0.666667,0.555556,0,0
0.07,57,0.777778,0.555556,0,0
0.07,58,0.888889,0.555556,0,0
0.07,59,1,0.555556,0,0
0.07,60,0,0.666667,0,0
0.07,61,0.111111,0.666667,0,0
0.07,62,0.222222,0.666667,0,0
0.07,63,0.333333,0.666667,0,0
0.07,64,0.444444,0.666667,0,0
0.07,65,0.555556,0.666667,0,0
0.07,66,0.666667,0.666667,0,0
0.07,67,0.777778,0.666667,0,0
0.07,68,0.888889,0.666667,0,0
0.07,69,1,0.666667,0,0
0.07,70,0,0.777778,0,0
0.07,71,0.111111,0.777778,0,0
0.07,72,0.222222,0.777778,0,0
0.07,73,0.333333,0.777778,0,0
0.07,74,0.444444,0.777778,0,0
0.07,75,0.555556,0.777778,0,0
0.07,76,0.666667,0.777778,0,0
0.07,77,0.777778,0.777778,0,0
0.07,78,0.888889,0.777778,0,0
0.07,79,1,0.777778,0,0
0.07,80,0,0.888889,0,0
0.07,81,0.111111,0.888889,0,0
0.07,82,0.222222,0.888889,0,0
0.07,83,0.333333,0.888889,0,0
0.07,84,0.444444,0.888889,0,0
0.07,85,0.555556,0.888889,0,0
0.07,86,0.666667,0.888889,0,0
0.07,87,0.777778,0.888889,0,0
0.07,88,0.888889,0.888889,0,0
0.07,89,1,0.888889,0,0
0.07,90,0,1,0,0
0.07,91,0.111111,1,0,0
0.07,92,0.222222,1,0,0
0.07,93,0.333333,1,0,0
0.07,94,0.444444,1,0,0
0.07,95,0.555556,1,0,0
0.07,96,0.666667,1,0,0
0.07,97,0.777778,1,0,0
0.07,98,0.888889,1,0,0
0.07,99,1,1,0,0
0.08,0,0,0,0,0
0.08,1,0.111111,0,0,0
0.08,2,0.222222,0,0,0
0.08,3,0.333333,0,0,0
0.08,4,0.444444,0,0,0
0.08,5,0.555556,0,0,0
0.08,6,0.666667,0,0,0
0.08,7,0.777778,0,0,0
0.08,8,0.888889,0,0,0
0.08,9,1,0,0,0
0.08,10,0,0.111111,0,0
0.08,11,0.111111,0.111111,0,0
0.08,12,0.222222,0.111111,0,0
0.08,13,0.333333,0.111111,0,0
0.08,14,0.444444,0.111111,0,0
0.08,15,0.555556,0.111111,0,0
0.08,16,0.666667,0.111111,0,0
0.08,17,0.777778,0.111111,0,0
0.08,18,0.888889,0.111111,0,0
0.08,19,1,0.111111,0,0
0.08,20,0,0.222222,0,0
0.08,21,0.111111,0.222222,0,0
0.08,22,0.222222,0.222222,0,0
0.08,23,0.333333,0.222222,0,0
0.08,24,0.444444,0.222222,0,0
0.08,25,0.555556,0.222222,0,0
0.08,26,0.666667,0.222222,0,0
0.08,27,0.777778,0.222222,0,0
0.08,28,0.888889,0.222222,0,0
0.08,29,1,0.222222,0,0
0.08,30,0,0.333333,0,0
0.08,31,0.111111,0.333333,0,0
0.08,32,0.222222,0.333333,0,0
0.08,33,0.333333,0.333333,0,0
0.08,34,0.444444,0.333333,0,0
0.08,35,0.555556,0.333333,0,0
0.08,36,0.666667,0.333333,0,0
0.08,37,0.777778,0.333333,0,0
0.08,38,0.888889,0.333333,0,0
0.08,39,1,0.333333,0,0
0.08,40,0,0.444444,0,0
0.08,41,0.111111,0.444444,0,0
0.08,42,0.222222,0.444444,0,0
0.08,43,0.333333,0.444444,0,0
0.08,44,0.444444,0.444444,0,0
0.08,45,0.555556,0.444444,0,0
0.08,46,0.666667,0.444444,0,0
0.08,47,0.777778,0.444444,0,0
0.08,48,0.888889,0.444444,0,0
0.08,49,1,0.444444,0,0
0.08,50,0,0.555556,0,0
0.08,51,0.111111,0.555556,0,0
0.08,52,0.222222,0.555556,0,0
0.08,53,0.333333,0.555556,0,0
0.08,54,0.444444,0.555556,0,0
0.08,55,0.555556,0.555556,0,0
0.08,56,0.666667,0.555556,0,0
0.08,57,0.777778,0.555556,0,0
0.08,58,0.888889,0.555556,0,0
0.08,59,1,0.555556,0,0
0.08,60,0,0.666667,0,0
0.08,61,0.111111,0.666667,0,0
0.08,62,0.222222,0.666667,0,0
0.08,63,0.333333,0.666667,0,0
0.08,64,0.444444,0.666667,0,0
0.08,65,0.555556,0.666667,0,0
0.08,66,0.666667,0.666667,0,0
0.08,67,0.777778,0.666667,0,0
0.08,68,0.888889,0.666667,0,0
0.08,69,1,0.666667,0,0
0.08,70,0,0.777778,0,0
0.08,71,0.111111,0.777778,0,0
0.08,72,0.222222,0.777778,0,0
0.08,73,0.333333,0.777778,0,0
0.08,74,0.444444,0.777778,0,0
0.08,75,0.555556,0.777778,0,0
0.08,76,0.666667,0.777778,0,0
0.08,77,0.777778,0.777778,0,0
0.08,78,0.888889,0.777778,0,0
0.08,79,1,0.777778,0,0
0.08,80,0,0.888889,0,0
0.08,81,0.111111,0.888889,0,0
0.08,82,0.222222,0.888889,0,0
0.08,83,0.333333,0.888889,0,0
0.08,84,0.444444,0.888889,0,0
0.08,85,0.555556,0.888889,0,0
0.08,86,0.666667,0.888889,0,0
0.08,87,0.777778,0.888889,0,0
0.08,88,0.888889,0.888889,0,0
0.08,89,1,0.888889,0,0
0.08,90,0,1,0,0
0.08,91,0.111111,1,0,0
0.08,92,0.222222,1,0,0
0.08,93,0.333333,1,0,0
0.08,94,0.444444,1,0,0
0.08,95,0.555556,1,0,0
0.08,96,0.666667,1,0,0
0.08,97,0.777778,1,0,0
0.08,98,0.888889,1,0,0
0.08,99,1,1,0,0
0.09,0,0,0,0,0
0.09,1,0.111111,0,0,0
0.09,2,0.222222,0,0,0
0.09,3,0.333333,0,0,0
0.09,4,0.444444,0,0,0
0.09,5,0.555556,0,0,0
0.09,6,0.666667,0,0,0
0.09,7,0.777778,0,0,0
0.09,8,0.888889,0,0,0
0.09,9,1,0,0,0
0.09,10,0,0.111111,0,0
0.09,11,0.111111,0.111111,0,0
0.09,12,0.222222,0.111111,0,0
0.09,13,0.333333,0.111111,0,0
0.09,14,0.444444,0.111111,0,0
0.09,15,0.555556,0.111111,0,0
0.09,16,0.666667,0.111111,0,0
0.09,17,0.777778,0.111111,0,0
0.09,18,0.888889,0.111111,0,0
0.09,19,1,0.111111,0,0
0.09,20,0,0.222222,0,0
0.09,21,0.111111,0.222222,0,0
0.09,22,0.222222,0.222222,0,0
0.09,23,0.333333,0.222222,0,0
0.09,24,0.444444,0.222222,0,0
0.09,25,0.555556,0.222222,0,0
0.09,26,0.666667,0.222222,0,0
0.09,27,0.777778,0.222222,0,0
0.09,28,0.888889,0.222222,0,0
0.09,29,1,0.222222,0,0
0.09,30,0,0.333333,0,0
0.09,31,0.111111,0.333333,0,0
0.09,32,0.222222,0.333333,0,0
0.09,33,0.333333,0.333333,0,0
0.09,34,0.444444,0.333333,0,0
0.09,35,0.555556,0.333333,0,0
0.09,36,0.666667,0.333333,0,0
0.09,37,0.777778,0.333333,0,0
0.09,38,0.888889,0.333333,0,0
0.09,39,1,0.333333,0,0
0.09,40,0,0.444444,0,0
0.09,41,0.111111,0.444444,0,0
0.09,42,0.222222,0.444444,0,0
0.09,43,0.333333,0.444444,0,0
0.09,44,0.444444,0.444444,0,0
0.09,45,0.555556,0.444444,0,0
0.09,46,0.666667,0.444444,0,0
0.09,47,0.777778,0.444444,0,0
0.09,48,0.888889,0.444444,0,0
0.09,49,1,0.444444,0,0
0.09,50,0,0.555556,0,0
0.09,51,0.111111,0.555556,0,0
0.09,52,0.222222,0.555556,0,0
0.09,53,0.333333,0.555556,0,0
0.09,54,0.444444,0.555556,0,0
0.09,55,0.555556,0.555556,0,0
0.09,56,0.666667,0.555556,0,0
0.09,57,0.777778,0.555556,0,0
0.09,58,0.888889,0.555556,0,0
0.09,59,1,0.555556,0,0
0.09,60,0,0.666667,0,0
0.09,61,0.111111,0.666667,0,0
0.09,62,0.222222,0.666667,0,0
0.09,63,0.333333,0.666667,0,0
0.09,64,0.444444,0.666667,0,0
0.09,65,0.555556,0.666667,0,0
0.09,66,0.666667,0.666667,0,0
0.09,67,0.777778,0.666667,0,0
0.09,68,0.888889,0.666667,0,0
0.09,69,1,0.666667,0,0
0.09,70,0,0.777778,0,0
0.09,71,0.111111,0.777778,0,0
0.09,72,0.222222,0.777778,0,0
0.09,73,0.333333,0.777778,0,0
0.09,74,0.444444,0.777778,0,0
0.09,75,0.555556,0.777778,0,0
0.09,76,0.666667,0.777778,0,0
0.09,77,0.777778,0.777778,0,0
0.09,78,0.888889,0.777778,0,0
0.09,79,1,0.777778,0,0
0.09,80,0,0.888889,0,0
0.09,81,0.111111,0.888889,0,0
0.09,82,0.222222,0.888889,0,0
0.09,83,0.333333,0.888889,0,0
0.09,84,0.444444,0.888889,0,0
0.09,85,0.555556,0.888889,0,0
0.09,86,0.666667,0.888889,0,0
0.09,87,0.777778,0.888889,0,0
0.09,88,0.888889,0.888889,0,0
0.09,89,1,0.888889,0,0
0.09,90,0,1,0,0
0.09,91,0.111111,1,0,0
0.09,92,0.222222,1,0,0
0.09,93,0.333333,1,0,0
0.09,94,0.444444,1,0,0
0.09,95,0.555556,1,0,0
0.09,96,0.666667,1,0,0
0.09,97,0.777778,1,0,0
0.09,98,0.888889,1,0,0
0.09,99,1,1,0,0
